Name,Type,Opening Hours,Description,Tag1,Tag2,Tag3
Farmhouse Kitchen,Café,Sun–Thurs 9 am–4:30 pm; Fri 9 am–5 pm; Sat 8 am–5 pm,fhk offers a contemporary Cumbrian farmhouse feel backed by some upcycling. Our brand of choice coffee is Lavazza backed up by Atkinsons of Lancaster teas and coffee for cafetieres,Cosy,££,Dog-friendly
Brew Brothers,Café,"Mon, Tue, Thu, Fri, Sat 8 am–4 pm; Wed, Sun 9 am–3 pm","Indulge in the delightful offerings of Brew Brothers, a licensed shabby chic coffee house. From the exceptional  Farrers coffee and specialty teas to the mouth watering homemade cakes and fresh innovative food,m we aim to provide a truly memorable experience. ",Lively,££,Vegetarian-friendly
Farrers Tea & Coffee House,Café,Mon–Sat 9 am–5:30 pm; Sun Closed,"Welcome to Farrer’s Tea & Coffee House. We are a café, shop and a tea & Coffee specialist in the heart of Kendal, the Lake District. Nestling on the main street is our 18th Century listed building where we have been selling freshly roasted coffee and fine selected teas since 1819. In our café we produce delicious cakes and light meals throughout the day where you can also sample our whole range of teas and coffees.",Lively,££,Heritage/local
Marra,Café,Mon–Sat 10 am–3 pm; Sun Closed,"Our menu is centred around our traditional four ingredient sourdough recipe, which is made on site every day. We carefully source the finest ingredients. Unless stated, our pizzas are based with San Marzano tomatoes (DOP) and fior di latte mozzarella",Cosy,££,Vegetarian-friendly
No-Hands Rest Coffeehouse,Café,Tue–Sat 8 am–4 pm; Sun 10 am–4 pm; Mon Closed,"We’re a small independent coffeehouse and event space, but this doesn’t mean we cut corners. We recognise both our appreciation and  responsibility for the communities we call our own. We’re committed to a net positive business for our team, customers, and riverside space. ",Trendy,£,Outdoor seating
"The Bristly Hog Coffee House
",Café,"Mon - Sat:
9 am–4:30 pm; Sun: Closed","The Bristly Hog is an independent, fully licensed coffee house and restaurant serving a wide variety of specialty teas and coffees sourced from around the world provided by local roasters Rinaldo’s and Pennington’s. We are open every day and offer all day breakfasts, main meals, snacks and afternoon teas for meat eaters, vegetarians and gluten free diners.

",Cosy,££,Gluten-free options
"Crumb.
",Café,"Mon - Sat:
7am–4pm; Sun: 10am-3pm","We offer freshly toasted and locally sourced sourdough sandwiches paired with our specialty Dark Woods coffee. Whether you’re looking for a quick grab-and-go breakfast or a cozy place to sit with friends, Crumb is the perfect blend of convenience and quality.

",Trendy,£,Dairy-free options
Waterside Cafe and Bistro,Café,Mon - Fri: 9am-5pm; Sat - Sun: 8:30am-5pm,"A waterside cafe that had a welcoming, relaxed atmosphere. The value for money is fantastic, and the portions are really filling. The staff were welcoming and very friendly.",Cosy,££,Gluten-free options
Kin.,Café,Mon - Sat: 9am-4pm; Sun: Closed,"Purveyors of fine food and specialty coffee, serving artisan coffee, home-baked cakes, and fresh breakfasts, brunches, and lunches.",Trendy,££,Instagrammable
"The Cottage Kitchen 
",Café,Mon - Sat: 10am-4pm; Sun: Closed,At the cottage kitchen we pride ourselves on providing quality home cooked food using loacal produce.  we have also got a wide range of gluten free products which are also home made Gluten Free Fish and Chips being our best seller.,Quiet,££,Gluten-free options
About Time - Espresso Bar ,Café,Tues - Sat: 9:30am-4:30pm; Sun-  Mon: Closed,"Licensed Café Bar, locally Roasted coffee, the best flat white and the infamous pickleback shot!",Trendy,£,Instagrammable
Baba Ganoush,Café,Tues - Sat: 9:30am-3pm; Sun-  Mon: Closed,Vegetarian Cafe & Soup Kitchen,Lively,££,Dog-friendly
Roast & Toast,Café,Mon - Sat: 9:30am-4pm; Sun: Closed,Family owned cafe in Kendal known for homemade food using locally sourced produce,Cosy,£,Dog-friendly
Finkles,Café,Mon - Sat: 9am-4pm; Sun: Closed,Finkles have been serving delicious meals and drinks to locals and visitors for over 35 years. Nestled down a cobbled alley from Finkle Street running through the heart of our town.,Cosy,££,Outdoor seating
The Garden Cafe & Take Away,Café,Wed - Sat: 9:30am-4:30pm; Sun - Tues: Closed,"A warm welcoming place to eat, serving fresh homemade vegan food and drink.",Cosy,££,Vegan options
Blend & Brew Kendal,Café,Mon - Tues: 9am - 3pm; Wed: Closed; Thurs: 9am - 3pm; Fri - Sat: 9am - 1pm; Sun: 10am - 1pm,Coffee house in the heart of Kendal. First class coffee & delicious treats.,Quiet,£,Dairy-free options
"The Bakery at No.4
",Café,Tues - Sat: 9:30am - 4:30pm; Sun - Mon: Closed,"The bakery offers an array of ever-changing delicious pastries, cakes and traybakes although primarily a takeaway, the shop also has a few tables and chairs so you have your cake and eat it while sitting back in the rustic surrounds.",Lively,£,Family-friendly
Kakaw,Café,Wed - Mon: 9am - 5pm; Tues: Closed,Purveyors of the finest hot chocolate drinks in a sustainable way. We carefully source our chocolates from suppliers who work directly with farmers,Trendy,£,Instagrammable
Fold Coffee,Café,Mon - Fri: 7:30am - 2:30pm; Sat - Sun: 8:30am - 2:30pm ,"Speciality coffee shop in the South Lakes. Bakes and Vibes. Supplied by local businesses and offering a collaborative space for work, chill and chat",Trendy,£,WiFi
The Joshua Tree,Café,Tues - Sat: 9:30am - 3pm; Sun - Mon: Closed,"We are a small family run Café & Bistro nestled in one of Kendals oldest Yards in a historic 16th century building. We offer a warm welcome, fine food and excellent service.",Cosy,££,Heritage/local
The Factory Tap,Pub,Mon–Thurs 4–9 pm; Fri 1–10 pm; Sat 2–10 pm; Sun 3–9 pm,Excellent pub. Great selection of beers. Very good service. Nice laid back atmosphere. Really good beer garden and additional outside seating.,Lively,££,Outdoor seating
Fell Bar Kendal,Pub,Mon–Thurs 4–11 pm; Fri 4 pm–12 am; Sat 3 pm–12 am; Sun 3–11 pm,"Tucked away from the main streets, our bar is placed at the very top of Lowther Street in Kendal’s town centre. Aiming for that ‘authentic locals feel’ atmosphere across our 3 floors, we welcome any newcomer, returning friend, four-legged family or old pals.  ",Cosy,££,Dog-friendly
Cortillo Lounge,Pub,Mon–Thurs 9 am–10 pm; Fri–Sat 9 am–12 am; Sun 9 am–10 pm,"Cortillo Lounge is a relaxed, neighbourhood café bar in Kendal, serving great food all day, every day. Come on in to enjoy your home-from-home.",Trendy,££,Late-night
Indie Craft Beer,Pub,Mon–Tue Closed; Wed–Thurs 4–9 pm; Fri–Sat 4–11 pm; Sun 4–9 pm,"At Indiecraftbeer.co.uk we are passionate about seeking out great quality beer from local, national and international independent breweries. Our newly opened beer shop & bar in the centre of Kendal stocks over 200 varieties from critically acclaimed brewers like Verdant, Deya, Pressure Drop, Rivington, Lakes, Vault City, Polly’s & Azvex to name just a few.",Cosy,££,Late-night
The New Union,Pub,Mon–Sat 3–11 pm; Sun 3–9 pm,"Serving Craft Keg, Real Ales and an extensive whisky selection. The New Union Kendal is a no pretence pub with great beer, good craic and a friendly atmosphere – everything a pub should be, banter and laughter a plenty!",Quiet,££,Dog-friendly
Romneys,Pub,"Mon - Sat:
9am-12am; Sun: 9am-11pm","A family-friendly stone-built inn with modern interior and play area, plus gastropub food and sensational Sunday roast.
With a contemporary atmosphere Romneys is the perfect place to enjoy a drink and a meal from a wide selection of ales and wines and anextensive menu. On Sundays we serve a 4 meat roast.",Lively,££,Family-friendly
Ye Olde Fleece Inn,Pub,"Sun - Thurs:
11am-11pm; Fri-Sat: 11am-12am","Whether you are calling in after a walk in the hills or dressing up for an evening out you are very welcome at the Fleece for drinks. We have worked hard to pick a great range of interesting and delicious drinks to tantalise the taste buds which we are sure you will enjoy. Tables available in the bar, lounge and pub areas as well as outside.",Lively,£££,Late-night
Masons Yard 24,Pub,Wed - Thurs: 10am - 11pm; Fri - Sat: 10am - 12am; Sun: 12pm - 10pm; Mon - Tues: Closed,"Extensive Range of Gins & Wines, Cocktail Menu, Continental Lagers, Selection of Traditional Cask Ales. Large Yard - Beer Garden - Covered Heated Area",Trendy,££,Outdoor seating
5 O'clock Somewhere,Pub,Wed - Fri: 4pm - 1pm; Fri: 3pm - 10pm; Sun: 3pm - 9pm; Mon - Tues: Closed,"A family-run, independent wine bar boasting an enticing selection of delicious and unique wines from all over the world.",Trendy,££,Instagrammable
Handsome Bar,Pub,Tues: 1pm - 10pm; Wed: 3pm - 10pm; Thurs: 4pm - 10pm; Sat: 12pm - 11pm; Sun - Mon: Closed,"We are proudly, the Kendal town bar for Handsome Brewery of Bowston Bridge. ",Quiet,£,Dog-friendly
The Barrel House,Pub,Thurs: 4pm - 11pm; Fri - Sat: 2pm - 11pm; Sun: 2pm - 7pm; Mon - Weds; Closed,"The Barrel House, is such a friendly and welcoming place and a great space to meet with friends. I love the familiar atmosphere and the good vibes of our little tap room.",Lively,£,Outdoor seating
The Shakespeare Inn,Pub,Mon - Sat: 11am - 11pm; Sun: 12pm - 11pm,"We offer a wide of range of fresh, locally-sourced traditional food with daily specials, Sunday Roasts and special event evenings, all complimented by Cask Marque accredited cask ales, carefully selected wines, spirits, cocktails and draught beers.",Lively,£££,WiFi
"98 Highgate
",Pub,Tues: 4pm - 10pm; Wed - Thurs: 12pm - 10pm; Fri - Sat: 12pm - 11pm; Sun: 12pm - 9pm; Mon: Closed,"98 Highgate offers a safe & friendly space to work, meet, drink and eat.",Cosy,££,Dog-friendly
Brewery Arts Bar and Restaurant,Pub,Tues - Wed: 11am - 9pm; Thurs - Sat: 11am - 10pm; Sun - Mon: Closed,"Situated in the heart of Kendal, enjoy a warm welcome, bold flavours, and outstanding service at our inviting Bar & Restaurant – the perfect spot to relax, share great food, and soak up the atmosphere.",Trendy,££,Family-friendly
The Riflemans Arms,Pub,Mon: 5:30pm - 9pm; Wed: 5:30pm - 10:30pm; Fri - Sun: 3pm - 11pm; Tues: Closed,"The Rifleman's Arms welcome old & new customers to a warm, child & dog friendly pub with 5 real ale",Cosy,£,Heritage/local
The Ring O Bells,Pub,Mon - Thurs: 3pm - 11pm; Fri - Sat: 12pm - 12am; Sun: 12pm - 10:30pm,"Pull up a chair, grab a drink, and make yourself at home! Whether you’re here for a cold pint, hearty food, or just some good company, we’re glad you’ve chosen to spend your time with us.",Lively,£,Heritage/local
"Clock Tower
",Pub,"Sun - Thurs:
10am - 12:30am; Fri-Sat: 10am-1:30am","Friendly Atmosphere
Great Beer
All the Sport you Desire",Lively,£,Late-night
The Horse & Rainbow,Pub,"Sun - Thurs:
11am - 11pm; Fri-Sat: 11am-1am","Welcome to Horse & Rainbow Kendal, your local pub based in Kendal. A traditional pub offering a wide variety of drinks and exciting offers. Relax with a refreshing pint of your favourite lager in hand and a great atmosphere",Lively,£,Late-night
Ruskins Bar,Pub,Wed - Thurs: 7pm - 12:30am; Fri - Sat: 7pm - 2am; Sun: 7pm - 11pm; Mon - Tues: Closed,"Popular town centre bar, serving a selection of gins, whiskys, ales and more! Live music from Folk to Punk.",Lively,£,Late-night
Smokies Retro Bar,Pub,Mon - Tues: 3:30pm - 11pm; Wed: 3:30pm - 11:30pm; Thurs: 4pm - 3am; Fri - Sat: 12pm - 3am; Sun: 3:30pm - 11pm,"Live music venue at night. Playing music from the 50s to 00s, Soul and Motown. Karaoke and DJ nights.",Lively,£,Late-night
