Category,Tag,Emoji,Description,Example Use
Atmosphere,Quiet,☕,"Calm, peaceful vibe, good for working/reading",A café with soft music & seating
Atmosphere,Cosy,🪵,"Warm, homely atmosphere",Farmhouse-style café
Atmosphere,Lively,🎶,"Busy, social, lots of chatter",Popular brunch spot
Atmosphere,Trendy,✨,"Modern, stylish, Instagram-worthy",Minimalist coffee house
Atmosphere,Family-friendly,👨‍👩‍👧‍👦,"Good for kids, play area or high chairs",Café with children’s menu
Price Range,£,💷,Budget: under ~£7 per item,Bakery with sandwiches & coffee
Price Range,££,💷💷,Mid-range: £8–15 per item,Sit-down cafés
Price Range,£££,💷💷💷,Premium: £15+ per item,High-end restaurant café
Features,Outdoor seating,🌿,"Has garden, terrace, or outdoor tables",Café with patio
Features,Dog-friendly,🐕,Allows dogs inside or outside,Pub with dog bowls
Features,WiFi,📶,Provides free internet,Laptop-friendly café
Features,Late-night,🌙,Open later than 9pm,Evening café-bar
Features,Heritage/local,🏛,Historic or locally iconic,Farrer’s Tea & Coffee House
Features,Instagrammable,📸,"Popular for photos, aesthetic interior",Modern café with mural
Dietary,Vegan options,🌱,Offers vegan menu items,"Oat milk lattes, vegan cakes"
Dietary,Vegetarian-friendly,🥗,Plenty of vegetarian meals,Brunch café
Dietary,Gluten-free options,🌾🚫,Gluten-free meals or cakes available,Bakery with GF bread
Dietary,Dairy-free options,🥛🚫,"Plant milks, dairy-free meals",Café with oat/soy milk
